"Timestamp","""He picked up the knife and stabbed me.""","""I tripped and fell, and the knife on the floor stabbed me.""","""There was an arrow wedged in the floor, and I got stabbed when I fell into it.""","""The knife fell off the counter, and stabbed my foot.""","""I got stabbed by a knife that was lying on the floor.""","""I was stabbed by a falling arrow.""","""He threw the knife, which spun across the room and stabbed me.""","""He picked up an arrow from the ground, and stabbed me with it.""","""The archers in the treetops stabbed me with arrows from their bows.""","""He stabbed me by throwing the knife at me.""","""I was inadvertently stabbed as we tussled.""","""The soldiers hurled their spears at me, stabbing me several times."""
"2017/04/25 8:57:22 pm GMT+12","Totally fine","A bit weird, but ok","Totally fine","Totally fine","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","Totally fine","A bit weird, but ok","Totally fine","Totally fine","Totally fine"
"2017/04/25 9:03:29 pm GMT+12","Totally fine","Totally fine","Totally fine","Totally fine","A bit weird, but ok","A bit weird, but ok","Totally fine","Totally fine","Incorrect usage","Totally fine","Totally fine","Totally fine"
"2017/04/25 9:05:02 pm GMT+12","Totally fine","Totally fine","Totally fine","Totally fine","Totally fine","A bit weird, but ok","Totally fine","Totally fine","Incorrect usage","A bit weird, but ok","Totally fine","A bit weird, but ok"
"2017/04/25 9:07:25 pm GMT+12","Totally fine","Totally fine","Totally fine","Totally fine","Totally fine","A bit weird, but ok","A bit weird, but ok","Totally fine","Incorrect usage","A bit weird, but ok","Totally fine","A bit weird, but ok"
"2017/04/25 9:08:02 pm GMT+12","Totally fine","A bit weird, but ok","Totally fine","Totally fine","Totally fine","Incorrect usage","Totally fine","Totally fine","Incorrect usage","Totally fine","Totally fine","Totally fine"
"2017/04/25 9:10:18 pm GMT+12","Totally fine","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","Incorrect usage","Incorrect usage","Incorrect usage","A bit weird, but ok","Incorrect usage","Incorrect usage","Totally fine","A bit weird, but ok"
"2017/04/25 9:11:01 pm GMT+12","Totally fine","A bit weird, but ok","Totally fine","A bit weird, but ok","Incorrect usage","A bit weird, but ok","A bit weird, but ok","Totally fine","Incorrect usage","A bit weird, but ok","Totally fine","Totally fine"
"2017/04/25 9:11:56 pm GMT+12","Totally fine","Totally fine","A bit weird, but ok","Totally fine","Totally fine","A bit weird, but ok","Totally fine","Totally fine","A bit weird, but ok","Totally fine","Totally fine","Totally fine"
"2017/04/25 9:16:48 pm GMT+12","Totally fine","A bit weird, but ok","Totally fine","Totally fine","A bit weird, but ok","Totally fine","A bit weird, but ok","Totally fine","A bit weird, but ok","A bit weird, but ok","Totally fine","A bit weird, but ok"
"2017/04/25 9:17:04 pm GMT+12","Totally fine","A bit weird, but ok","Totally fine","Totally fine","A bit weird, but ok","Totally fine","A bit weird, but ok","Totally fine","A bit weird, but ok","A bit weird, but ok","Totally fine","A bit weird, but ok"
"2017/04/25 9:17:24 pm GMT+12","Totally fine","Totally fine","A bit weird, but ok","Totally fine","Totally fine","A bit weird, but ok","A bit weird, but ok","Totally fine","Incorrect usage","A bit weird, but ok","A bit weird, but ok","Incorrect usage"
"2017/04/25 9:23:26 pm GMT+12","Totally fine","A bit weird, but ok","Totally fine","A bit weird, but ok","Totally fine","Incorrect usage","Incorrect usage","Totally fine","Incorrect usage","Incorrect usage","Totally fine","Incorrect usage"
"2017/04/25 9:32:31 pm GMT+12","Totally fine","A bit weird, but ok","A bit weird, but ok","Incorrect usage","A bit weird, but ok","Incorrect usage","Incorrect usage","Totally fine","Incorrect usage","Incorrect usage","Totally fine","Incorrect usage"
"2017/04/25 9:34:28 pm GMT+12","Totally fine","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","Incorrect usage","A bit weird, but ok","Totally fine","Incorrect usage","A bit weird, but ok","Totally fine","A bit weird, but ok"
"2017/04/25 9:37:59 pm GMT+12","Totally fine","Incorrect usage","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","Totally fine","Incorrect usage","Incorrect usage","A bit weird, but ok","Incorrect usage"
"2017/04/25 9:38:49 pm GMT+12","Totally fine","Incorrect usage","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","Incorrect usage","Incorrect usage","Totally fine","A bit weird, but ok","Totally fine","Totally fine","Totally fine"
"2017/04/25 9:44:01 pm GMT+12","Totally fine","A bit weird, but ok","A bit weird, but ok","Totally fine","Totally fine","Incorrect usage","A bit weird, but ok","Totally fine","Incorrect usage","Totally fine","Totally fine","Totally fine"
"2017/04/25 9:51:04 pm GMT+12","Totally fine","Incorrect usage","Incorrect usage","A bit weird, but ok","A bit weird, but ok","Incorrect usage","A bit weird, but ok","Totally fine","Incorrect usage","Incorrect usage","Totally fine","Incorrect usage"
"2017/04/25 10:06:22 pm GMT+12","Totally fine","A bit weird, but ok","A bit weird, but ok","Totally fine","Incorrect usage","Incorrect usage","A bit weird, but ok","Totally fine","Incorrect usage","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok"
"2017/04/25 10:08:29 pm GMT+12","Totally fine","A bit weird, but ok","A bit weird, but ok","Totally fine","Incorrect usage","Incorrect usage","Totally fine","Totally fine","Incorrect usage","Incorrect usage","Totally fine","Incorrect usage"
"2017/04/25 10:08:53 pm GMT+12","Totally fine","A bit weird, but ok","Incorrect usage","Totally fine","A bit weird, but ok","Incorrect usage","Totally fine","Totally fine","Incorrect usage","A bit weird, but ok","Totally fine","Incorrect usage"
"2017/04/25 10:13:52 pm GMT+12","Totally fine","A bit weird, but ok","A bit weird, but ok","Totally fine","A bit weird, but ok","Incorrect usage","A bit weird, but ok","Totally fine","Incorrect usage","A bit weird, but ok","Totally fine","A bit weird, but ok"
"2017/04/25 10:18:11 pm GMT+12","Totally fine","A bit weird, but ok","Totally fine","Totally fine","A bit weird, but ok","Incorrect usage","Incorrect usage","Totally fine","Incorrect usage","Incorrect usage","Totally fine","A bit weird, but ok"
"2017/04/25 10:19:17 pm GMT+12","Totally fine","A bit weird, but ok","Incorrect usage","Totally fine","A bit weird, but ok","Incorrect usage","Incorrect usage","Totally fine","Incorrect usage","Incorrect usage","Totally fine","Incorrect usage"
"2017/04/25 10:21:15 pm GMT+12","Totally fine","Totally fine","A bit weird, but ok","Totally fine","A bit weird, but ok","A bit weird, but ok","Totally fine","Totally fine","Incorrect usage","A bit weird, but ok","Totally fine","Totally fine"
"2017/04/25 10:21:25 pm GMT+12","Totally fine","A bit weird, but ok","Incorrect usage","Totally fine","A bit weird, but ok","A bit weird, but ok","Totally fine","Totally fine","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","Totally fine"
"2017/04/25 10:33:00 pm GMT+12","Totally fine","A bit weird, but ok","Incorrect usage","Totally fine","A bit weird, but ok","Incorrect usage","A bit weird, but ok","Totally fine","Incorrect usage","Incorrect usage","Totally fine","Incorrect usage"
"2017/04/25 10:36:48 pm GMT+12","Totally fine","A bit weird, but ok","Incorrect usage","Totally fine","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","Totally fine","Incorrect usage","A bit weird, but ok","Totally fine","A bit weird, but ok"
"2017/04/25 10:39:03 pm GMT+12","Totally fine","Incorrect usage","A bit weird, but ok","Totally fine","Incorrect usage","Incorrect usage","Incorrect usage","Totally fine","Incorrect usage","Incorrect usage","Totally fine","A bit weird, but ok"
"2017/04/25 11:13:44 pm GMT+12","Totally fine","A bit weird, but ok","A bit weird, but ok","Totally fine","Incorrect usage","A bit weird, but ok","A bit weird, but ok","Totally fine","Incorrect usage","Incorrect usage","Totally fine","Incorrect usage"
"2017/04/25 11:38:15 pm GMT+12","Totally fine","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","Totally fine","Totally fine","Totally fine","Totally fine","Totally fine","Totally fine"
"2017/04/26 12:57:01 am GMT+12","Totally fine","A bit weird, but ok","Totally fine","A bit weird, but ok","Totally fine","A bit weird, but ok","Totally fine","Totally fine","Totally fine","Totally fine","Totally fine","Totally fine"
"2017/04/26 2:21:12 am GMT+12","Totally fine","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","Incorrect usage","Incorrect usage","Incorrect usage","Totally fine","Incorrect usage","Incorrect usage","Totally fine","A bit weird, but ok"
"2017/04/26 5:13:46 am GMT+12","Totally fine","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","Totally fine","Incorrect usage","A bit weird, but ok","Totally fine","A bit weird, but ok"
"2017/04/26 8:00:12 am GMT+12","Totally fine","A bit weird, but ok","A bit weird, but ok","Totally fine","A bit weird, but ok","Incorrect usage","A bit weird, but ok","Totally fine","A bit weird, but ok","A bit weird, but ok","Totally fine","Totally fine"
"2017/04/26 8:02:48 am GMT+12","Totally fine","Incorrect usage","A bit weird, but ok","A bit weird, but ok","Incorrect usage","Incorrect usage","A bit weird, but ok","Totally fine","Incorrect usage","Incorrect usage","Totally fine","Incorrect usage"
"2017/04/26 8:05:23 am GMT+12","Totally fine","Incorrect usage","Totally fine","Totally fine","A bit weird, but ok","Incorrect usage","Totally fine","Totally fine","Incorrect usage","Incorrect usage","Totally fine","Totally fine"
"2017/04/26 8:07:28 am GMT+12","Totally fine","A bit weird, but ok","Totally fine","Totally fine","A bit weird, but ok","A bit weird, but ok","A bit weird, but ok","Totally fine","Incorrect usage","Incorrect usage","Totally fine","A bit weird, but ok"
